"","bee","bee.genus","bee.subgenus"
"1","Homalictus (Homalictus) behri","Homalictus","Homalictus (Homalictus)"
"2","Homalictus (Homalictus) bremerensis","Homalictus","Homalictus (Homalictus)"
"3","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"4","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"5","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"6","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"7","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"8","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"9","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"10","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"11","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"12","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"13","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"14","Homalictus (Homalictus) brisbanensis","Homalictus","Homalictus (Homalictus)"
"15","Homalictus (Homalictus) callaspis","Homalictus","Homalictus (Homalictus)"
"16","Homalictus (Homalictus) callaspis","Homalictus","Homalictus (Homalictus)"
"17","Homalictus (Homalictus) callaspis","Homalictus","Homalictus (Homalictus)"
"18","Homalictus (Homalictus) callaspis","Homalictus","Homalictus (Homalictus)"
"19","Homalictus (Homalictus) caloundrensis","Homalictus","Homalictus (Homalictus)"
"20","Homalictus (Homalictus) caloundrensis","Homalictus","Homalictus (Homalictus)"
"21","Homalictus (Homalictus) caloundrensis","Homalictus","Homalictus (Homalictus)"
"22","Homalictus (Homalictus) caloundrensis","Homalictus","Homalictus (Homalictus)"
"23","Homalictus (Homalictus) caloundrensis","Homalictus","Homalictus (Homalictus)"
"24","Homalictus (Homalictus) ctenander","Homalictus","Homalictus (Homalictus)"
"25","Homalictus (Homalictus) ctenander","Homalictus","Homalictus (Homalictus)"
"26","Homalictus (Homalictus) ctenander","Homalictus","Homalictus (Homalictus)"
"27","Homalictus (Homalictus) dampieri","Homalictus","Homalictus (Homalictus)"
"28","Homalictus (Homalictus) dampieri","Homalictus","Homalictus (Homalictus)"
"29","Homalictus (Homalictus) dotatus","Homalictus","Homalictus (Homalictus)"
"30","Homalictus (Homalictus) dotatus","Homalictus","Homalictus (Homalictus)"
"31","Homalictus (Homalictus) dotatus","Homalictus","Homalictus (Homalictus)"
"32","Homalictus (Homalictus) dotatus","Homalictus","Homalictus (Homalictus)"
"33","Homalictus (Homalictus) holochlorus","Homalictus","Homalictus (Homalictus)"
"34","Homalictus (Homalictus) holochlorus","Homalictus","Homalictus (Homalictus)"
