"","source","target","value"
"1","Homalictus (Homalictus) behri","Alphitonia excelsa",2
"2","Homalictus (Homalictus) bremerensis","Banksia grandis",1
"3","Homalictus (Homalictus) brisbanensis","Acacia parramattensis",1
"4","Homalictus (Homalictus) brisbanensis","Angophora floribunda",1
"5","Homalictus (Homalictus) brisbanensis","Angophora hispida",2
"6","Homalictus (Homalictus) brisbanensis","Banksia aemula",1
"7","Homalictus (Homalictus) brisbanensis","Banksia collina",1
"8","Homalictus (Homalictus) brisbanensis","Banksia oblongifolia",1
"9","Homalictus (Homalictus) brisbanensis","Boronia ledifolia",1
"10","Homalictus (Homalictus) brisbanensis","Eriostemon australasius",1
"11","Homalictus (Homalictus) brisbanensis","Eucalyptus robusta",2
"12","Homalictus (Homalictus) brisbanensis","Eucalyptus sp",2
"13","Homalictus (Homalictus) brisbanensis","Foeniculum vulgare",1
"14","Homalictus (Homalictus) brisbanensis","Platysace ericoides",5
"15","Homalictus (Homalictus) callaspis","Carpobrotus sp",1
"16","Homalictus (Homalictus) callaspis","Disphyma crassifolium",1
"17","Homalictus (Homalictus) callaspis","Ipomoea pes-caprae",6
"18","Homalictus (Homalictus) callaspis","Senecio lautus",1
"19","Homalictus (Homalictus) caloundrensis","Acacia buxifolia",2
"20","Homalictus (Homalictus) caloundrensis","Banksia integrifolia",12
"21","Homalictus (Homalictus) caloundrensis","Callistemon sp",1
"22","Homalictus (Homalictus) caloundrensis","Eucalyptus piperita",1
"23","Homalictus (Homalictus) caloundrensis","Tristaniopsis laurina",1
"24","Homalictus (Homalictus) ctenander","Eucalyptus sp",1
"25","Homalictus (Homalictus) ctenander","Hakea tephrosperma",1
"26","Homalictus (Homalictus) ctenander","Melaleuca sp",1
"27","Homalictus (Homalictus) dampieri","Callistemon sp",12
"28","Homalictus (Homalictus) dampieri","Eucalyptus sp",3
"29","Homalictus (Homalictus) dotatus","Angophora floribunda",1
"30","Homalictus (Homalictus) dotatus","Calotis erinacea",1
"31","Homalictus (Homalictus) dotatus","Eucalyptus leucoxylon",1
"32","Homalictus (Homalictus) dotatus","Eucalyptus sp",2
"33","Homalictus (Homalictus) holochlorus","Taraxacum officinale",5
"34","Homalictus (Homalictus) holochlorus","Banksia aemula",1
"35","Homalictus (Homalictus) holochlorus","Banksia ericifolia",1
"36","Homalictus (Homalictus) holochlorus","Banksia integrifolia",3
"37","Homalictus (Homalictus) holochlorus","Boronia ledifolia",1
"38","Homalictus (Homalictus) holochlorus","Bursaria spinosa",2
"39","Homalictus (Homalictus) holochlorus","Daviesia ulicifolia",1
"40","Homalictus (Homalictus) holochlorus","Dendrophthoe glabrescens",1
"41","Homalictus (Homalictus) holochlorus","Dianella longifolia",3
"42","Homalictus (Homalictus) holochlorus","Eriostemon australasius",1
"43","Homalictus (Homalictus) holochlorus","Goodenia bellidifolia",1
"44","Homalictus (Homalictus) holochlorus","Leptospermum sp",1
"45","Homalictus (Homalictus) holochlorus","Lomatia silaifolia",4
"46","Homalictus (Homalictus) holochlorus","Monotoca scoparia",7
"47","Homalictus (Homalictus) holochlorus","Persoonia oblongata",2
"48","Homalictus (Homalictus) holochlorus","Persoonia tenuifolia",2
"49","Homalictus (Homalictus) holochlorus","Pultenaea tuberculata",3
"50","Homalictus (Homalictus) holochlorus","Xanthorrhoea media",2
"51","Homalictus (Homalictus) megastigmus","Acacia rubida",2
"52","Homalictus (Homalictus) megastigmus","Angophora floribunda",2
"53","Homalictus (Homalictus) megastigmus","Haloragis trigonocarpa",1
"54","Homalictus (Homalictus) megastigmus","Leucopogon microphyllus",1
"55","Homalictus (Homalictus) megastigmus","Polyscias sambucifolia",1
"56","Homalictus (Homalictus) murrayi","Bauhinia cunninghamii",1
"57","Homalictus (Homalictus) murrayi","Eremophila sturtii",1
"58","Homalictus (Homalictus) murrayi","Persoonia virgata",2
"59","Homalictus (Homalictus) murrayi","Waltheria virgata",1
"60","Homalictus (Homalictus) niveifrons","Taraxacum officinale",2
"61","Homalictus (Homalictus) niveifrons","Astrotricha latifolia",1
"62","Homalictus (Homalictus) niveifrons","Banksia aemula",2
"63","Homalictus (Homalictus) niveifrons","Bursaria spinosa",1
"64","Homalictus (Homalictus) niveifrons","Corymbia eximia",1
"65","Homalictus (Homalictus) niveifrons","Disphyma crassifolium",1
"66","Homalictus (Homalictus) niveifrons","Eucalyptus robusta",3
"67","Homalictus (Homalictus) niveifrons","Maclura cochinchinensis",4
"68","Homalictus (Homalictus) punctatus","Acacia buxifolia",2
"69","Homalictus (Homalictus) punctatus","Angophora hispida",1
"70","Homalictus (Homalictus) punctatus","Callistemon sp",12
"71","Homalictus (Homalictus) punctatus","Eucalyptus sp",2
"72","Homalictus (Homalictus) punctatus","Eucalyptus bridgesiana",2
"73","Homalictus (Homalictus) punctatus","Eucalyptus burgessiana",1
"74","Homalictus (Homalictus) punctatus","Eucalyptus melliodora",2
"75","Homalictus (Homalictus) punctatus","Eucalyptus pauciflora",2
"76","Homalictus (Homalictus) punctatus","Eucalyptus sp",4
"77","Homalictus (Homalictus) punctatus","Leptospermum trinervum",1
"78","Homalictus (Homalictus) punctatus","Monotoca scoparia",2
"79","Homalictus (Homalictus) punctatus","Persoonia oblongata",1
"80","Homalictus (Homalictus) punctatus","Xanthorrhoea media",1
"81","Homalictus (Homalictus) scrupulosus","Astrotricha latifolia",1
"82","Homalictus (Homalictus) sp. unsorted","Astrotricha floccosa",1
"83","Homalictus (Homalictus) sp. unsorted","Trimenia moorei",1
"84","Homalictus (Homalictus) sphecodoides","Taraxacum officinale",25
"85","Homalictus (Homalictus) sphecodoides","Acacia sp",1
"86","Homalictus (Homalictus) sphecodoides","Cassinia laevis",1
"87","Homalictus (Homalictus) sphecodoides","Convolvulus arvensis",1
"88","Homalictus (Homalictus) sphecodoides","Convolvulus mauretainicus",1
"89","Homalictus (Homalictus) sphecodoides","Echium plantagineum",1
"90","Homalictus (Homalictus) sphecodoides","Eucalyptus albens",1
"91","Homalictus (Homalictus) sphecodoides","Eucalyptus sp",1
"92","Homalictus (Homalictus) sphecodoides","Leucopogon microphyllus",1
"93","Homalictus (Homalictus) sphecodoides","Ranunculus sp",1
"94","Homalictus (Homalictus) sphecodoides","Wahlenbergia sp",9
"95","Homalictus (Homalictus) sphecodopsis","Bauhinia cunninghamii",2
"96","Homalictus (Homalictus) sphecodopsis","Callistemon sp",4
"97","Homalictus (Homalictus) sphecodopsis","Corymbia sp",10
"98","Homalictus (Homalictus) sphecodopsis","Corymbia terminalis",13
"99","Homalictus (Homalictus) sphecodopsis","Eucalyptus dumosa",1
"100","Homalictus (Homalictus) sphecodopsis","Eucalyptus sp",11
"101","Homalictus (Homalictus) sphecodopsis","Eucalyptus viridis",2
"102","Homalictus (Homalictus) sphecodopsis","Eucalyptus yalatensis",4
"103","Homalictus (Homalictus) sphecodopsis","Melaleuca sp",2
"104","Homalictus (Homalictus) urbanus","Taraxacum officinale",3
"105","Homalictus (Homalictus) urbanus","Acacia cana",7
"106","Homalictus (Homalictus) urbanus","Calytrix exstipulata",1
"107","Homalictus (Homalictus) urbanus","Corymbia terminalis",1
"108","Homalictus (Homalictus) urbanus","Cullen australasicum",1
"109","Homalictus (Homalictus) urbanus","Eremophila mitchellii",2
"110","Homalictus (Homalictus) urbanus","Eremophila polyclada",7
"111","Homalictus (Homalictus) urbanus","Eremophila sturtii",10
"112","Homalictus (Homalictus) urbanus","Eucalyptus sp",1
"113","Homalictus (Homalictus) urbanus","Frankenia pseudoflabellata",1
"114","Homalictus (Homalictus) urbanus","Hibbertia acuminata",1
"115","Homalictus (Homalictus) urbanus","Ipomoea pes-caprae",1
"116","Homalictus (Homalictus) urbanus","Melaleuca decussata",4
"117","Homalictus (Homalictus) urbanus","Melaleuca sp",2
"118","Homalictus (Homalictus) urbanus","Pultenaea procumbens",1
"119","Homalictus (Homalictus) urbanus","Scaevola sp",1
"120","Homalictus (Homalictus) urbanus","Senecio madagascariensis",4
"121","Homalictus (Homalictus) urbanus","Senna artemisiodes",2
"122","Homalictus (Homalictus) urbanus","Solanum sp",1
"123","Homalictus (Homalictus) urbanus","Stypandra glauca",1
"124","Homalictus (Homalictus) urbanus","Trianthema pilosa",5
"125","Homalictus (Homalictus) urbanus","Tribulus terrestris",1
"126","Homalictus (Homalictus) urbanus","Wahlenbergia sp",39
"127","Lasioglossum (Australictus) lithuscum","Boronia microphylla",1
"128","Lasioglossum (Australictus) lithuscum","Gompholobium grandiflorum",3
"129","Lasioglossum (Australictus) lithuscum","Leucopogon lanceolatus",1
"130","Lasioglossum (Australictus) lithuscum","Mirbelia platylobioides",2
"131","Lasioglossum (Australictus) lithuscum","Podolobium ilicifolium",1
"132","Lasioglossum (Australictus) lithuscum","Pultenaea linophylla",2
"133","Lasioglossum (Australictus) peraustrale","Angophora floribunda",3
"134","Lasioglossum (Australictus) peraustrale","Angophora hispida",3
"135","Lasioglossum (Australictus) peraustrale","Callistemon sp",1
"136","Lasioglossum (Australictus) peraustrale","Kunzea ambigua",1
"137","Lasioglossum (Australictus) peraustrale","Leptospermum polygalifolium",3
"138","Lasioglossum (Australictus) peraustrale","Micromyrtus blakelyi",1
"139","Lasioglossum (Australictus) peraustrale","Monotoca scoparia",1
"140","Lasioglossum (Australictus) peraustrale","Pultenaea flexilis",1
"141","Lasioglossum (Australictus) plorator","Leucopogon lanceolatus",2
"142","Lasioglossum (Australictus) plorator","Oxylobium arborescens",1
"143","Lasioglossum (Australictus) tertium","Angophora hispida",1
"144","Lasioglossum (Australictus) tertium","Kunzea ambigua",1
"145","Lasioglossum (Australictus) tertium","Leptospermum polygalifolium",1
"146","Lasioglossum (Australictus) tertium","Xanthorrhoea media",1
"147","Lasioglossum (Austrevylaeus) msp. austr1","Acacia melanoxylon",1
"148","Lasioglossum (Austrevylaeus) msp. austr2","Eucalyptus robusta",1
"149","Lasioglossum (Austrevylaeus) msp. austr2","Goodenia bellidifolia",1
"150","Lasioglossum (Austrevylaeus) msp. austr2","Sowerbaea juncea",1
"151","Lasioglossum (Austrevylaeus) msp. austr3","Hibbertia sp",1
"152","Lasioglossum (Austrevylaeus) msp. austr3","Wahlenbergia sp",1
"153","Lasioglossum (Austrevylaeus) msp. bernh","Leucopogon lanceolatus",1
"154","Lasioglossum (Austrevylaeus) msp. bernh","Senecio amygdalifolia",4
"155","Lasioglossum (Austrevylaeus) sp. unsorted","Taraxacum officinale",1
"156","Lasioglossum (Austrevylaeus) sp. unsorted","Acacia buxifolia",1
